venue_key,venue_name,city,country,capacity,capacity_values,needs_review,source
7TH STREET ENTRY AT FIRST AVENUE,7th Street Entry at First Avenue,"MINNEAPOLIS, MN",USA,250,250,False,excel_pink_cell
ACADEMY 3,Academy 3,MANCHESTER,UNITED KINGDOM,470,470,False,excel_pink_cell
ACCOR ARENA,Accor Arena,PARIS,FRANCE,20300,20300,False,excel_pink_cell
AFAS LIVE,Afas Live,AMSTERDAM,NETHERLANDS,6000,6000,False,excel_pink_cell
AICHI PREFECTURAL ART THEATER,Aichi Prefectural Art Theater,AICHI,JAPAN,2480,2480,False,excel_pink_cell
AICHI SKY EXPO HALL A,Aichi Sky Expo Hall A,NAGOYA,JAPAN,10000,10000,False,excel_pink_cell
ALHAMBRA,Alhambra,PARIS,FRANCE,1400,600|1400,True,excel_pink_cell
ALLEGIANT STADIUM,ALLEGIANT STADIUM,"LAS VEGAS, NV",USA,72000,72000,False,excel_pink_cell
ALLIANZ ARENA,ALLIANZ ARENA,MUNICH,GERMANY,65000,50424|65000,False,excel_pink_cell
ALTES POSTLAGER,Altes Postlager,MAINZ,GERMANY,2000,2000,False,excel_pink_cell
AMOS SOUTHEND,Amos' Southend,"CHARLOTTE, NC",USA,1200,1200,False,excel_pink_cell
AMRIG,AMRIG,PORTO ALEGRE,BRAZIL,700,700,False,excel_pink_cell
ANABUKI ARENA KAGAWA,ANABUKI ARENA KAGAWA,KAGAWA,JAPAN,10000,10000,False,excel_pink_cell
ANALOG MUSIC HALL,Analog Music Hall,BUDAPEST,HUNGARY,500,500,False,excel_pink_cell
ARENA EXPO,ARENA@EXPO,SINGAPORE,SINGAPORE,6700,6700,False,excel_pink_cell
ARENA GRAND PARIS,Arena Grand Paris,PARIS,FRANCE,7000,7000,False,excel_pink_cell
ARENA OF STARS RESORTS WORLD GENTING,"Arena of Stars, Resorts World Genting",PAHANG,MALAYSIA,5132,5132,False,excel_pink_cell
ASIA WORLD ARENA,Asia-World Arena,HONG KONG,CHINA,14000,14000,False,excel_pink_cell
ASIA WORLD EXPO,Asia World-Expo,HONG KONG,CHINA,14000,14000,False,excel_pink_cell
ASIA WORLD EXPO ARENA,Asia-World Expo Arena,HONG KONG,CHINA,14000,14000,False,excel_pink_cell
ASIA WORLD EXPO RUNWAY 11,"Asia-World Expo, Runway 11",HONG KONG,CHINA,3800,3800,False,excel_pink_cell
ASIAWORLD ARENA,AsiaWorld-Arena,HONG KONG,CHINA,14000,12000|14000,False,excel_pink_cell
ASIAWORLD EXPO HALL 10,"Asiaworld-Expo, Hall 10",HONG KONG,CHINA,2800,2800,False,excel_pink_cell
ASIAWORLD EXPO RUNWAY 11,"ASIAWORLD-EXPO, RUNWAY 11",HONG KONG,CHINA,3800,3800,False,excel_pink_cell
ASTORIA,Astoria,"NEW YORK, NY",USA,1000,1000,False,excel_pink_cell
AT T STADIUM,AT&T STADIUM,"ARLINGTON, TX",USA,65000,65000,False,excel_pink_cell
AUDITORIO BB,Auditorio BB,MEXICO CITY,MEXICO,1236,1236,False,excel_pink_cell
AUDITORIO NACIONAL,AUDITORIO NACIONAL,MEXICO CITY,MEXICO,10000,10000,False,excel_pink_cell
AURUM EVENT CENTER,Aurum Event Center,"VANCOUVER, BC",CANADA,1200,1200,False,excel_pink_cell
AXIATA ARENA,Axiata Arena,KUALA LUMPUR,MALAYSIA,16000,16000,False,excel_pink_cell
BACKSTAGE HALLE,Backstage Halle,MUNICH,ITALY,1000,1000,False,excel_pink_cell
BACKSTAGE WERK,Backstage Werk,MUNICH,GERMANY,1000,1000,False,excel_pink_cell
